dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2023-12-12T14:30:00Z","2023-12-12T16:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323138372d302d32","","1970-01-01T00:00:00Z","\n\n1ATP4\nGORDON NATHALIE\n\n(Updated :13/12/2023 11:14)","2023-12-13T10:14:00Z","Labo multimédia A105","2141024514","","Anglais1 : TP4",""
"2024-01-17T15:30:00Z","2024-01-17T18:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313838392d302d30","","1970-01-01T00:00:00Z","\n\n1ATP1\nBROS LAURENT\n\n(Updated :27/11/2023 15:45)","2023-11-27T14:45:00Z","B8","2141001745","","Archi-Rés1 Exam : TP1",""
"2023-12-06T15:30:00Z","2023-12-06T18:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313838352d302d30","","1970-01-01T00:00:00Z","\n\n1ATP1\nBROS LAURENT\n\n(Updated :09/11/2023 11:19)","2023-11-09T10:19:00Z","B8","2140975559","","Archi-Rés1 : TP1",""
"2023-11-22T07:00:00Z","2023-11-22T09:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313636382d302d30","","1970-01-01T00:00:00Z","\n\n1ATP3\nJACQUET FREDERIQUE\n\n(Updated :27/11/2023 16:14)","2023-11-27T15:14:00Z","C5","2141001774","","SAE15-TP3-Bash",""
"2023-12-05T07:00:00Z","2023-12-05T09:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333431302d302d3130","","1970-01-01T00:00:00Z","\n\n1ATP5\nSIGURET ARNAUD\n\n(Updated :09/11/2023 12:58)","2023-11-09T11:58:00Z","C5","2140975658","","Prog1 : TP5",""
"2024-01-15T09:00:00Z","2024-01-15T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313837302d302d39","","1970-01-01T00:00:00Z","\n\n1ATDB\nBENGANA FAYCAL\n\n(Updated :19/12/2023 12:34)","2023-12-19T11:34:00Z","B3","2141033234","","Math-Trans1 : TDB",""
"2023-11-09T14:30:00Z","2023-11-09T16:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323230322d302d30","","1970-01-01T00:00:00Z","\n\n1ATP4\nGIRAUD NADINE\n\n(Updated :27/10/2023 10:36)","2023-10-27T08:36:00Z","B7","2140956736","","Com1 : TP4",""
"2023-11-27T15:00:00Z","2023-11-27T18:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323037312d302d30","","1970-01-01T00:00:00Z","\n\n1ATP3\nDELOS HUGO\n\n(Updated :14/11/2023 10:30)","2023-11-14T09:30:00Z","C1bis","2140982710","","Init-Rés1 Exam : TP3",""
"2023-10-11T11:30:00Z","2023-10-11T13:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333337322d302d34","","1970-01-01T00:00:00Z","\n\n1ATDC\nGIRAUD NADINE\n\n(Updated :25/09/2023 16:38)","2023-09-25T14:38:00Z","B7","2140911018","","Com1 : TDC",""
"2023-09-26T11:30:00Z","2023-09-26T13:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313836352d302d32","","1970-01-01T00:00:00Z","\n\n1ATDB\nHERNANDEZ SEBASTIEN\n\n(Updated :25/09/2023 12:19)","2023-09-25T10:19:00Z","B8","2140910759","","Init-Rés1 : TDB",""
"2023-10-06T11:00:00Z","2023-10-06T14:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323032362d302d31","","1970-01-01T00:00:00Z","\n\n1ATP2\nHERNANDEZ SEBASTIEN\n\n(Updated :28/09/2023 13:57)","2023-09-28T11:57:00Z","B8","2140915177","","Init-Rés1 : TP2",""
"2024-01-31T08:00:00Z","2024-01-31T09:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33343437382d302d30","","1970-01-01T00:00:00Z","\n\n1A\nJACQUET FREDERIQUE\n\n(Updated :08/01/2024 17:51)","2024-01-08T16:51:00Z","A5-A5bis","2141062351","","Internet2 : Cours",""
