id;Date;HStart;HEnd;Summary;TD;Location;Description
1;2023-10-26:;08:00:00;10:00:00;Syst1;TP1;B8;::1ATP1:WEZLMICHAEL::(Updated:10/10/202318:36)
2;2023-10-25:;11:30:00;14:30:00;Elec1;TP4;B1bis;::1ATP4:CAPALLERAFLORENCE::(Updated:20/10/202317:03)
3;2023-09-26:;08:00:00;09:00:00;Init-Rés1;Cours;A5-A5bis;::1A:FREITASANTONIO::(Updated:07/07/202311:28)
4;2023-12-06:;12:30:00;14:30:00;RLAN1;TDB;C5;::1ATDB:FREITASANTONIO::(Updated:09/11/202316:02)
5;2024-01-22:;15:00:00;18:00:00;SAE13;TP4;C1;::1ATP4:CAPALLERAFLORENCE::(Updated:14/12/202316:48)
6;2023-10-16:;11:30:00;13:30:00;Elec1;TDA;A5bis;::1ATDA:CAPALLERAFLORENCE::(Updated:05/10/202318:50)
7;2024-01-19:;07:00:00;09:00:00;Anglais1;TP1;B2;::1ATP1:BEIGNONDAGOSTINOLAURE::(Updated:19/12/202310:34)
8;2024-01-10:;09:00:00;11:00:00;Gest_projet;TDC;B7;::1ATDC:MAYETKARINE::(Updated:19/12/202315:39)
9;2023-10-25:;08:00:00;10:00:00;Archi-Sys1;Examen;SalleexamenMPC003;::1A:JACQUETJEAN-PAUL::(Updated:12/09/202311:44)
10;2024-01-11:;09:00:00;11:00:00;SAE14;TP2;B2;::1ATP2:BEIGNONDAGOSTINOLAURE::(Updated:27/11/202315:54)
11;2023-10-13:;08:00:00;10:00:00;Syst1;TP5;C5;::1ATP5:JACQUETFREDERIQUE::(Updated:25/09/202316:57)
12;2023-10-18:;11:30:00;13:30:00;SAE12;TDB;B3;::1ATDB:FREITASANTONIO::(Updated:05/10/202318:48)
13;2024-01-11:;12:30:00;14:30:00;Anglais1;TP3;B2;::1ATP3:BEIGNONDAGOSTINOLAURE::(Updated:11/12/202309:42)
14;2024-01-17:;12:00:00;15:00:00;RLAN1;TP2;C1bis;::1ATP2:FREITASANTONIO::(Updated:27/11/202315:27)
15;2023-10-02:;13:30:00;15:30:00;SAE11;TDB;B7;::1ATDB:GIRAUDNADINE::(Updated:25/09/202313:26)
16;2023-10-03:;08:00:00;10:00:00;Elec1;TDC;A6;::1ATDC:CAPALLERAFLORENCE::(Updated:25/09/202313:48)
17;2023-12-13:;12:30:00;14:30:00;Gest_projet;TDA;A5bis;::1ATDA:MAYETKARINE::(Updated:20/11/202310:17)
18;2023-09-18:;11:30:00;13:30:00;Telecom1;TDB;A8;::1ATDB:CAPALLERAFLORENCE::(Updated:15/09/202318:34)
19;2023-09-28:;13:30:00;15:30:00;SAE12;TP4;C1bis;::1ATP4:DELOSHUGO::(Updated:25/09/202313:23)
20;2023-10-04:;08:00:00;10:00:00;SAE11;TDC;B6;::1ATDC:GIRAUDNADINE::(Updated:25/09/202313:27)
21;2024-01-08:;14:30:00;16:30:00;SAE12;TDB-PT;B3,C1bis;::1ATDB::(Updated:19/12/202311:52)
22;2023-12-13:;09:00:00;11:00:00;RLAN1;TDC;C7;::1ATDC:HERNANDEZSEBASTIEN::(Updated:08/12/202312:44)
23;2023-09-12:;07:00:00;08:00:00;Math-Signal1;Cours;A5-A5bis;::1A:COURSIMAULTDAVID::(Updated:10/07/202312:45)
24;2023-09-20:;08:00:00;10:00:00;Syst1;TDC;B3;::1ATDC:JACQUETFREDERIQUE::(Updated:08/09/202317:15)
25;2023-10-20:;11:00:00;14:00:00;Init-Rés1;TP2;C1bis;::1ATP2:HERNANDEZSEBASTIEN::(Updated:06/10/202316:43)
